"","Estimate","Std.err.","t-ratio(0)","p(2-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"asc_C_Class1",-0.0387199316536232,0.120988996858822,-0.32002853696526,0.748946697890221,0.199841839632139,-0.193752878400726,0.846369385311858
"asc_C_Class2",-2.74411924832796,0.947431249664505,-2.89637823250993,0.00377497111101666,2.47143011268264,-1.1103365756717,0.266854017626461
"asc_C_Class3",-3.62333299798932,0.344264687481023,-10.5248465199878,0,0.560586280519513,-6.46347069826873,1.02328368001281e-10
"beta_Tax_Class1",-0.0223923781091848,0.00347708193670012,-6.43999149770856,1.19480203508715e-10,0.00370533481907333,-6.04328062174551,1.51011669835555e-09
"beta_Tax_Class2",-0.153242874522251,0.0260033659902999,-5.89319377266066,3.78801767730863e-09,0.0675271889502585,-2.26935071494139,0.0232470067554582
"beta_Tax_Class3",-0.124450376337759,0.0117519292520634,-10.5897826364049,0,0.025669697575183,-4.84814345682343,1.24622269592756e-06
"mu_Encounter_Medium_Class1",20.6214714808323,4.77372085390356,4.31978997346896,1.56177767840493e-05,5.56950659396452,3.70256702868061,0.000213428947191563
"mu_Encounter_High_Class1",31.4126542851106,5.4458323749908,5.76820073077694,8.01223398738671e-09,6.03346267440079,5.20640567122268,1.92533494924874e-07
"mu_Existence_Medium_Class1",15.4764754649621,5.48352751376135,2.82235758389517,0.00476719900940581,6.92155029092336,2.23598396521909,0.0253528215242953
"mu_Existence_High_Class1",20.103123614837,6.2500722115338,3.2164626158621,0.00129781440975552,7.44983632048922,2.69846514071022,0.00696600330618358
"mu_Bequest_Medium_Class1",27.8901138561166,7.89703195813119,3.53172103189978,0.000412864658341894,8.88583638401016,3.1387156651122,0.00169690014770763
"mu_Bequest_High_Class1",57.2754086615386,10.3418538965502,5.53821483405836,3.05570289071966e-08,12.07997273638,4.74135247748101,2.12296213364382e-06
"mu_Int_Encounter_Medium_Bee_Class1",-9.11163562918952,7.92617863848108,-1.14956223481428,0.250324220119083,8.67573454872986,-1.05024370881927,0.293606078477822
"mu_Int_Encounter_High_Bee_Class1",20.7460087088973,8.94735041617846,2.31867622747676,0.0204125984553445,10.4786044519824,1.97984462568129,0.0477209902035434
"mu_Int_Existence_Medium_Bee_Class1",-38.6824499038395,11.4028713059144,-3.39234293416747,0.000692976491268649,14.8933172935384,-2.59730247744217,0.00939591427110642
"mu_Int_Existence_High_Bee_Class1",27.0222011800328,9.30404437224062,2.90434999005979,0.00368016512483194,9.20391577285097,2.93594616106124,0.00332532031113519
"mu_Int_Bequest_Medium_Bee_Class1",21.0589188997698,10.0110297104305,2.10357171129244,0.0354158237550835,9.33004788756138,2.25710726821083,0.0240013728388051
"mu_Int_Bequest_High_Bee_Class1",26.1066743250626,10.0558968911809,2.59615572907857,0.00942733266928752,11.3318274467957,2.30383620361645,0.0212318399993487
"mu_Int_Existence_Medium_Wasp_Class1",8.86103939544788,7.79563368005071,1.13666698040514,0.255677527852352,8.20277872300117,1.08024849806089,0.280031537101037
"mu_Int_Existence_High_Wasp_Class1",24.5639771271707,8.83145459078759,2.78141917332556,0.00541218057505377,10.652408529615,2.30595522682778,0.0211131342380233
"mu_Int_Encounter_Medium_Wasp_Class1",29.3556519627264,11.8535570328403,2.47652682493504,0.0132667655179735,12.3604297754741,2.37497016656934,0.0175503686364376
"mu_Int_Encounter_High_Wasp_Class1",9.09594900901013,9.93116864975051,0.915899158478055,0.359719788224349,10.100898586984,0.900508893409851,0.36784949465336
"mu_Int_Bequest_Medium_Wasp_Class1",-20.3668448822572,10.5562820008741,-1.9293577871992,0.0536864603636638,10.4193813712238,-1.95470768912503,0.0506175820173922
"mu_Int_Bequest_High_Wasp_Class1",-27.8315450083534,11.0901705330586,-2.50956871451081,0.0120878695109956,10.646542719661,-2.61413923197404,0.00894525750879582
"mu_Encounter_Medium_Class2",-19.3474833983684,4.74311354200498,-4.0790681536563,4.52165806785754e-05,7.66315492486799,-2.52474125710067,0.011578350134275
"mu_Encounter_High_Class2",-20.8646076916377,4.67159836885446,-4.46626744087034,7.95960980348731e-06,7.44565385145467,-2.80225324839152,0.00507470202326754
"mu_Existence_Medium_Class2",-12.2043360007923,3.06787510756593,-3.97810718262105,6.94660584850126e-05,6.02550850481166,-2.02544498792867,0.0428216918933249
"mu_Existence_High_Class2",-24.8764088939217,4.81324748011853,-5.16832117955196,2.3620613776032e-07,5.92022328044288,-4.20193761544425,2.6464007091942e-05
"mu_Bequest_Medium_Class2",0.949568123398638,6.3780726859094,0.148880103780637,0.881648241113038,16.5739622904911,0.0572927648051564,0.95431198373698
"mu_Bequest_High_Class2",-14.0851759934623,4.86490152223451,-2.89526436025221,0.00378839339464188,9.6455805864449,-1.46027249134764,0.144215199191732
"mu_Int_Encounter_Medium_Bee_Class2",2.20213755714315,6.82297913225549,0.322753084020526,0.74688224646078,13.0971622404001,0.168138526248865,0.86647430120839
"mu_Int_Encounter_High_Bee_Class2",11.6446462638935,2.54840991972193,4.56937723157353,4.89175612239379e-06,3.37164416729961,3.4536996450666,0.000552952847646448
"mu_Int_Existence_Medium_Bee_Class2",15.3704924731972,3.9435045638374,3.89767330666921,9.71213147760164e-05,5.88252428199096,2.6129076118314,0.00897755670834677
"mu_Int_Existence_High_Bee_Class2",-99.9784461037242,34.7414438472259,-2.87778615486954,0.00400476512809833,35.3496579224613,-2.82827195451296,0.00468000310012617
"mu_Int_Bequest_Medium_Bee_Class2",-58.4562750163121,15.6137336615274,-3.74390112470982,0.000181184976744131,24.9799554260862,-2.3401272748176,0.0192771692693559
"mu_Int_Bequest_High_Bee_Class2",6.29222227121284,2.50577266845511,2.5110906310157,0.0120358792036426,3.14042961925677,2.00361830516106,0.0451109634684557
"mu_Int_Existence_Medium_Wasp_Class2",7.71574322758168,2.87271721931114,2.68586938377174,0.00723413625874958,4.71201338680646,1.63746207707847,0.101533956573707
"mu_Int_Existence_High_Wasp_Class2",0.0886856821142414,3.29582489181096,0.0269084933288161,0.978532719274701,3.81215243074531,0.023263939132912,0.981439736326881
"mu_Int_Encounter_Medium_Wasp_Class2",1.77630283546168,1.88052893376058,0.944576179378178,0.34487529293511,2.47150712513368,0.718712407258632,0.472318137026945
"mu_Int_Encounter_High_Wasp_Class2",-55.7562344351751,25.1325800396334,-2.21848430790826,0.026521828361812,47.051640571946,-1.18500085772608,0.236017107778572
"mu_Int_Bequest_Medium_Wasp_Class2",5.97022733499068,5.84104580092307,1.02211616523315,0.306725923081332,13.498047263493,0.442303039724705,0.658269931604026
"mu_Int_Bequest_High_Wasp_Class2",16.7549188371804,5.90861147518597,2.83567787585036,0.00457285426287868,8.41506445989608,1.99106244723732,0.046474022303695
"mu_Encounter_Medium_Class3",1.69680973627026,2.53979003270915,0.668090556470253,0.504075789527925,4.045822156026,0.419398003874927,0.674925282697521
"mu_Encounter_High_Class3",5.80555902178012,3.3166836187605,1.75041085888975,0.0800474436037528,3.56312702354917,1.6293438273209,0.103240253034805
"mu_Existence_Medium_Class3",11.9993499455314,3.7955066963705,3.16146193524198,0.00156979334053009,6.75524972722816,1.7762999785435,0.0756834867658951
"mu_Existence_High_Class3",4.90002477942456,3.31977569193815,1.47601080136948,0.139940992594319,4.81124259153165,1.01845306824669,0.308462693455048
"mu_Bequest_Medium_Class3",-17.2872131014304,3.26844871903475,-5.2891186576535,1.22907142019457e-07,5.49366491603254,-3.14675419153795,0.00165093689618567
"mu_Bequest_High_Class3",0.75585088931879,4.75184524393756,0.159064710763279,0.873617890917798,8.37410601957723,0.0902604872152012,0.928080218575712
"mu_Int_Encounter_Medium_Bee_Class3",-7.65999360683477,3.0485743016272,-2.5126478310685,0.0119828888274112,3.98834401560373,-1.9205950080701,0.0547827849987417
"mu_Int_Encounter_High_Bee_Class3",-8.4595500192378,4.51257731923403,-1.87466040375209,0.0608394575291746,6.50377946968383,-1.30071292525683,0.193356736392214
"mu_Int_Existence_Medium_Bee_Class3",-11.5956193239736,4.3651447886835,-2.65641115823579,0.00789772575936998,7.52613559892079,-1.5407135802385,0.123386510171344
"mu_Int_Existence_High_Bee_Class3",-5.15496481661589,3.30372855759237,-1.56034756692379,0.118677768319097,3.74544275739056,-1.37632988955552,0.168719523172778
"mu_Int_Bequest_Medium_Bee_Class3",14.6347188456264,4.64776727265418,3.14876326354203,0.00163962962657638,6.4464458015861,2.27019962566437,0.0231954737164846
"mu_Int_Bequest_High_Bee_Class3",-3.28510618679811,4.26423064433517,-0.77038660916764,0.441070594319803,5.70591815495657,-0.575736647036276,0.564793200841613
"mu_Int_Existence_Medium_Wasp_Class3",-18.4508098609188,3.93702350796063,-4.68648709453003,2.77934336545549e-06,6.35786483524966,-2.90204500080321,0.00370735279961432
"mu_Int_Existence_High_Wasp_Class3",-16.1007478823864,3.76253902724366,-4.27922415310635,1.87545913734599e-05,4.67175408894028,-3.44640312308017,0.000568102212845201
"mu_Int_Encounter_Medium_Wasp_Class3",20.358308525614,6.5402438470534,3.1127751505452,0.00185337161008681,8.62821838124565,2.35950315882882,0.0182994250725343
"mu_Int_Encounter_High_Wasp_Class3",2.55377613278061,5.20138658050984,0.490979874933711,0.623440681633078,6.84743808280817,0.372953519534899,0.709183038121803
"mu_Int_Bequest_Medium_Wasp_Class3",-6.72281548550331,5.01668542481464,-1.34009109924442,0.180215729451192,7.36740488271996,-0.912507944455651,0.361501389366224
"mu_Int_Bequest_High_Wasp_Class3",-14.1442618852436,4.96283507839078,-2.85003665482068,0.00437141909608152,6.57770323841269,-2.15033445149113,0.0315287691511852
"sig_Encounter_Medium_Class1",-31.3491933638432,6.57911076617459,-4.76495904659637,1.88892011032671e-06,7.20995498460268,-4.34804287000285,1.37357759431023e-05
"sig_Encounter_High_Class1",-43.6914993002842,7.66398263202195,-5.70088704503722,1.191855947269e-08,8.90985181559245,-4.90372906357691,9.40341696065161e-07
"sig_Existence_Medium_Class1",-8.07472723147454,12.6576546703906,-0.637932337525632,0.523517726327775,14.6633838806013,-0.550672839040713,0.581857966962322
"sig_Existence_High_Class1",-21.0234554884729,6.34700078798021,-3.31234486819139,0.000925174204993606,8.25156395990025,-2.54781464345907,0.0108400050137345
"sig_Bequest_Medium_Class1",-10.0968484106815,8.15449007629831,-1.23819494734916,0.215643784583409,8.34172544552163,-1.21040286888153,0.22612434159298
"sig_Bequest_High_Class1",-29.3405675433725,7.84992961338822,-3.73768543011284,0.000185722109000697,9.43765372234706,-3.1088836703023,0.0018779564306346
"sig_Int_Encounter_Medium_Bee_Class1",6.33424012540695,12.8770690403882,0.491900766046992,0.622789496731491,7.46046357536881,0.849041089929027,0.395858428504505
"sig_Int_Encounter_High_Bee_Class1",1.23278554132091,11.5778925470752,0.106477542118175,0.915203472896043,1.90709214825335,0.646421591347843,0.518006361109472
"sig_Int_Existence_Medium_Bee_Class1",92.6349242465374,26.7137254410349,3.46769021232214,0.000524952075566798,40.1384661598522,2.30788401025633,0.0210055886331144
"sig_Int_Existence_High_Bee_Class1",38.7531740829433,12.2376841376686,3.1667081489428,0.00154174964635168,13.9950903177225,2.76905494735312,0.0056219153058501
"sig_Int_Bequest_Medium_Bee_Class1",-0.76223076999064,13.8406511765783,-0.0550718864500046,0.956081193506052,4.01753995185056,-0.1897257473792,0.849524043755899
"sig_Int_Bequest_High_Bee_Class1",65.5398245353986,18.90259466316,3.46723958817843,0.000525832973010454,27.3089496156545,2.39993941392124,0.0163977856400397
"sig_Int_Existence_Medium_Wasp_Class1",25.0660881134913,13.3574579728924,1.8765612562181,0.0605782516868216,15.2360414292445,1.64518377230051,0.0999319189843144
"sig_Int_Existence_High_Wasp_Class1",21.2015766660616,12.5353916630478,1.69133739383352,0.0907723820315254,14.6236652255479,1.44981277532407,0.1471107359917
"sig_Int_Encounter_Medium_Wasp_Class1",-28.894782089174,15.5831739334831,-1.85422958201657,0.0637063216069278,17.113705866295,-1.68840006454017,0.0913344581019582
"sig_Int_Encounter_High_Wasp_Class1",1.98053986981674,20.2712203066855,0.0977020544324878,0.922168884163031,7.01712438554021,0.282243802589266,0.777756573406374
"sig_Int_Bequest_Medium_Wasp_Class1",-21.037293792926,17.3846429728602,-1.21010789958517,0.226237492328481,21.7005023204408,-0.969438102504654,0.332326649241283
"sig_Int_Bequest_High_Wasp_Class1",78.2864121468279,17.1012217239191,4.57782569050785,4.69833934513275e-06,19.2599757135074,4.06472019027128,4.80901200434758e-05
"sig_Encounter_Medium_Class2",-3.91585424902884,2.59821359512063,-1.50713330743196,0.131776490837578,2.21352585423259,-1.76905738035142,0.076884299358182
"sig_Encounter_High_Class2",3.06129991580892,4.63168638014788,0.660947150681472,0.508646206630907,10.2296597711004,0.29925725628308,0.764743765501832
"sig_Existence_Medium_Class2",5.55738046417271,1.67309525713391,3.32161629200526,0.000894976780837942,2.72206846544179,2.04160201505833,0.0411910252669829
"sig_Existence_High_Class2",-0.810581648219515,7.80439900896184,-0.103862148422796,0.917278745781771,14.5597823070592,-0.0556726488847647,0.955602588726726
"sig_Bequest_Medium_Class2",-12.2379426624251,2.80218072688636,-4.36729242514748,1.25796254608623e-05,6.8541487038369,-1.78547959655068,0.0741835579566785
"sig_Bequest_High_Class2",0.00377719943429743,2.30204890679201,0.0016407989522521,0.998690832436045,2.25832131731305,0.00167256953443256,0.998665483213823
"sig_Int_Encounter_Medium_Bee_Class2",5.01127383743581,4.8517101497808,1.03288813278803,0.301656252979677,4.85242489833745,1.03273599126754,0.301727465554337
"sig_Int_Encounter_High_Bee_Class2",10.2874142813148,5.82686248439668,1.76551519945129,0.0774772180237784,13.3335791221034,0.771541848374465,0.44038582747295
"sig_Int_Existence_Medium_Bee_Class2",7.46978802736549,5.49835187489606,1.35855037970023,0.174289107957724,6.48385767836022,1.15205922120959,0.249296738653734
"sig_Int_Existence_High_Bee_Class2",-113.12697704699,27.7993574447896,-4.06940977940456,4.71323864774664e-05,29.0054641681152,-3.90019536978645,9.61150950460343e-05
"sig_Int_Bequest_Medium_Bee_Class2",89.6289269171673,20.2959623595571,4.41609642988731,1.0049926515654e-05,26.5046622885921,3.38162870898924,0.000720574671843277
"sig_Int_Bequest_High_Bee_Class2",-9.19977960135922,2.57188396063661,-3.5770585851323,0.000347482316590542,3.80716905866578,-2.41643579772716,0.0156732899846228
"sig_Int_Existence_Medium_Wasp_Class2",0.0267147448884559,2.4543324955092,0.0108847293255242,0.991315414010748,1.49440175726264,0.0178765480960022,0.985737337933259
"sig_Int_Existence_High_Wasp_Class2",5.62951151373758,5.64033081330012,0.998081796986619,0.318239696140172,6.32768890196209,0.889663129929157,0.37364679719217
"sig_Int_Encounter_Medium_Wasp_Class2",-3.96306878441921,2.7875525901642,-1.4217018894649,0.155112811385791,2.22478242196779,-1.78132870220807,0.0748587682088184
"sig_Int_Encounter_High_Wasp_Class2",-60.2110152601155,23.3307518443875,-2.58075760531481,0.00985837743407103,39.9860307975081,-1.50580125256813,0.132118201699897
"sig_Int_Bequest_Medium_Wasp_Class2",-7.33241004104675,4.07017500564532,-1.80149748619573,0.0716245031608242,4.96610029896821,-1.47649253934122,0.13981171661409
"sig_Int_Bequest_High_Wasp_Class2",-4.35158610774798,8.3312111472952,-0.522323349007996,0.601445214883619,12.6098981323768,-0.345092883547964,0.73002454331926
"sig_Encounter_Medium_Class3",-8.37453614166246,1.66217712309164,-5.03829346783807,4.69700885297186e-07,1.90379611946562,-4.39886186132848,1.08820061845982e-05
"sig_Encounter_High_Class3",4.81202959225777,2.5084295690348,1.91834351327207,0.0550674684091912,3.51288953278344,1.36982092586468,0.170742808174219
"sig_Existence_Medium_Class3",-0.0344542320479285,1.73707756452015,-0.0198345961928569,0.984175319535868,0.249333466053116,-0.138185349096253,0.890093933738065
