RID,IP_repeat_group,START,DATETIME.UTC,speeder_flag,metadata_flag,DURATION,consent,Consent_2,Q1Age,Q2Gender,Q3Country,Q4Urban,Q5Ethnicity,Q8Postcode,Q6Occupation,Q7Income,Q10Insect_Species1,Q10Insect_Species2,Q10Insect_Species3,Q9Insect_Word1,Q9Insect_Word2,Q9Insect_Word3,BackgroundInfo_Check,Q11OpinionOnInsectPopulations_1,Q11OpinionOnInsectPopulations_2,Q12InsectIDQuiz_1,Q12InsectIDQuiz_2,Q12InsectIDQuiz_3,Q12InsectIDQuiz_4,Q12InsectIDQuiz_5,Q12InsectIDQuiz_6,Q12InsectIDQuiz_DV_1,Q12InsectIDQuiz_DV_2,Q12InsectIDQuiz_DV_3,Q12InsectIDQuiz_DV_4,Q12InsectIDQuiz_DV_5,Q12InsectIDQuiz_DV_6,Q12InsectIDQuizFollowUp_1,Q12InsectIDQuizFollowUp_2,CE_Info_Check,CE_Task_Plan_Check_1,CE_Task_Insect_Check_1,CE_Task_A1_Check_1,CE_Task_A2_Check_1,CE_Task_A3_Check_1,CE_Task_A4_Check_1,CE_Task_A5_Check_1,CE_ConfirmYouHaveReadDescs,CE_TasksConsequentiality_1,CE_TasksConsequentiality_2,CE_BlockAllocator,design_offset_old,design_offset,BidVectorElicitation_Randomiser,CE_1_DV,CE_2_DV,CE_3_DV,CE_4_DV,CE_5_DV,CE_6_DV,CE_7_DV,CE_8_DV,CE_9_DV,Q29CEProtest_Statements,Q29CEProtest_Other,CE_Debrief_Certain,CE_Debrief_Confident,CE_ANA_1,CE_ANA_2,CE_ANA_3,CE_ANA_4,CE_ANA_5,Biowell_Beetle1_Item1_Relaxed,Biowell_Beetle1_Item2_Joy,Biowell_Beetle1_Item3_Clear,Biowell_Beetle1_Item4_Open,Biowell_Beetle1_Item5_Connect,Biowell_Bee1_Item1_Relaxed,Biowell_Bee1_Item2_Joy,Biowell_Bee1_Item3_Clear,Biowell_Bee1_Item4_Open,Biowell_Bee1_Item5_Connect,Biowell_Wasp1_Item1_Relaxed,Biowell_Wasp1_Item2_Joy,Biowell_Wasp1_Item3_Clear,Biowell_Wasp1_Item4_Open,Biowell_Wasp1_Item5_Connect,Biowell_Beetle2_Item1_Relaxed,Biowell_Beetle2_Item2_Joy,Biowell_Beetle2_Item3_Clear,Biowell_Beetle2_Item4_Open,Biowell_Beetle2_Item5_Connect,Biowell_Bee2_Item1_Relaxed,Biowell_Bee2_Item2_Joy,Biowell_Bee2_Item3_Clear,Biowell_Bee2_Item4_Open,Biowell_Bee2_Item5_Connect,Biowell_Wasp2_Item1_Relaxed,Biowell_Wasp2_Item2_Joy,Biowell_Wasp2_Item3_Clear,Biowell_Wasp2_Item4_Open,Biowell_Wasp2_Item5_Connect,Biowell_Beetle3_Item1_Relaxed,Biowell_Beetle3_Item2_Joy,Biowell_Beetle3_Item3_Clear,Biowell_Beetle3_Item4_Open,Biowell_Beetle3_Item5_Connect,Biowell_Bee3_Item1_Relaxed,Biowell_Bee3_Item2_Joy,Biowell_Bee3_Item3_Clear,Biowell_Bee3_Item4_Open,Biowell_Bee3_Item5_Connect,Biowell_Wasp3_Item1_Relaxed,Biowell_Wasp3_Item2_Joy,Biowell_Wasp3_Item3_Clear,Biowell_Wasp3_Item4_Open,Biowell_Wasp3_Item5_Connect,Biowell_Debrief_BeetlesCertain,Biowell_Debrief_BeeCertain,Biowell_Debrief_WaspCertain,Sliding_Beetles_Encounter,Sliding_Beetles_Ecology,Sliding_Beetles_Conserved,Sliding_Beetles_Important,Sliding_Bees_Encounter,Sliding_Bees_Conserved,Sliding_Bees_Ecology,Sliding_Bees_Important,Sliding_Wasps_Encounter,Sliding_Wasps_Conserved,Sliding_Wasps_Ecology,Sliding_Wasps_Important,Visit_Child,Visit_Teen,Visit_Adult,Q41_FreqOfVisitGreenSpace_1,Q41_FreqOfVisitBlueSpace_1,Q41_WalkTimeToGreenSpace,Q41_WalkTimeToBlueSpace,Q42_Charity,Q43_Citizen,Q44_Sight,Q45_Garden,Q46_Farm,Q47_Fish,Q48_Education,QDiscounting_1,QDiscounting_2,QDiscounting_3,QDiscounting_4,QDiscounting_5,QDiscounting_6,QDiscounting_7,Q50_Understanding,FurtherComments,SurveyCompletionTime,Speeders_Survey_Threshold,Slowers_Survey_Threshold,Speeders_Survey_TestDummy,Slowers_Survey_TestDummy,Valuation_Start,Valuation_Finish,Valuation_CompletionTime,Speeders_Valuation_Threshold,Slowers_Valuation_Threshold,Speeders_Valuation_TestDummy,Slowers_Valuation_TestDummy,ClassDummy,EmployDummy_Retired,EmployDummy_Employed,IncomeMidpoints,Income_MissingDummy,AgeGroup,Dummy_HighEducation,Age_1829Dummy,Age_3044Dummy,Age_4560Dummy,Age_60Dummy,AgeGroup_Numeric,IncomeMidpoints_PlusMissing,Income_Dummy,Q5Ethnicity_Dummy,Q12InsectIDQuiz_DV_1_Dummy,Q12InsectIDQuiz_DV_2_Dummy,Q12InsectIDQuiz_DV_3_Dummy,Q12InsectIDQuiz_DV_4_Dummy,Q12InsectIDQuiz_DV_5_Dummy,Q12InsectIDQuiz_DV_6_Dummy,Q12InsectIDQuiz_Score,Q12InsectIDQuiz_DV_6_ScoreScaled,CE_ANA_None,CE_ANA_All,Protest_Labelled,Protest_True,Biowell_Beetle1_Mean,Biowell_Beetle2_Mean,Biowell_Beetle3_Mean,Biowell_Bee1_Mean,Biowell_Bee2_Mean,Biowell_Bee3_Mean,Biowell_Wasp1_Mean,Biowell_Wasp2_Mean,Biowell_Wasp3_Mean,Overall,Age_Dummy,Female_dummy,Q3Country_Wales,Q3Country_Scotland,Dummy_Speeders,Visit_Green_Never,Visit_Blue_Never,Visit_Green_Always,Visit_Blue_Always,first_switch_task,always_chose_oneMonth,always_chose_oneYear,DiscountRate,DiscountRate_TextCategory,DiscountRate_Scaled
694,,1728326686.86825,2024-10-07T18:44:46.868Z,1,,291.295,1,,34,2,1,1,1,Anonymised,8,7,Spider,Bee,Ant,Creepy,Itchy,Bad,1,4,5,4,3,3,1,2,4,Wasp: correct,Beetle: incorrect,Beetle: correct,Ant: incorrect,Bee: correct,Wasp: incorrect,4,5,1,4,4,5,5,4,5,3,1,3,4,2,2,9,3,2,1,3,2,3,1,2,3,1,,"",75,86,1,2,1,1,2,74,71,67,70,70,80,76,7,78,77,67,97,88,75,75,79,67,80,85,68,76,79,15,82,84,84,78,91,12,81,84,76,21,73,86,85,80,19,86,93,85,86,17,91,77,78,88,81,77,91,16,86,83,93,16,89,88,92,16,80,76,92,21,4,2,2,4,0,1,1,0,1,1,5,2,1,2,2,1,2,1,83,Anonymised,291.295,449.23296,1385.13496,0,1,106.416854143143,178.665028095245,72.248173952102,123.797855987549,381.71005596161,0,1,1,0,1,3750.5,0,30-44,1,0,1,0,0,37,3750.5,1,1,1,0,1,0,1,0,3,50,0,0,"",1,29.6,24.2,32,36.4,32.8,27.4,19.6,30.8,28.8,29.0666666666667,0,0,0,0,1,0,0,0,0,1,FALSE,FALSE,5.26,Normal,0.00276842105263158
701,,1728326697.15345,2024-10-07T18:44:57.153Z,,,358.679,1,,32,1,1,0,2,Anonymised,4,4,bugs,flies,spiders,yuck,oest,scary,1,4,4,5,2,3,5,2,3,I don’t know: incorrect,Bee: incorrect,Beetle: correct,I don’t know: incorrect,Bee: correct,Beetle: correct,4,4,1,2,2,2,4,3,2,2,1,4,4,1,1,0,1,3,3,3,3,3,3,3,3,3,2,"",95,99,1,1,1,1,1,69,71,66,68,95,33,18,26,36,37,93,97,98,97,95,52,51,47,47,49,44,48,47,53,53,52,56,75,79,89,56,57,59,59,61,57,57,55,61,58,56,56,62,59,82,62,62,63,72,76,78,75,75,73,76,75,75,77,75,75,77,77,81,4,4,2,1,1,1,1,0,1,1,6,1,1,2,2,2,2,2,82,Anonymised,358.679,449.23296,1385.13496,0,1,95.8821609020233,162.954899072647,67.0727381706237,123.797855987549,381.71005596161,0,1,0,0,0,2250.5,0,30-44,1,0,1,0,0,37,2250.5,0,1,0,0,1,0,1,1,3,50,0,1,I am not willing to pay anything for this plan.,1,26.2,50.8,41.6,70,51,42.4,4,29.8,37,39.2,0,1,0,0,1,0,0,0,0,3,FALSE,FALSE,100,High,0.0526315789473684
729,,1728326818.45849,2024-10-07T18:46:58.458Z,1,,263,1,,21,2,3,1,1,Anonymised,4,7,Spider,Ants,Flys,Bee,Spder,Lizard,1,3,3,1,3,1,5,2,4,Ant: incorrect,Beetle: incorrect,Ant: incorrect,I don’t know: incorrect,Bee: correct,Wasp: incorrect,4,5,1,3,2,2,5,3,1,3,1,3,3,2,2,9,3,3,2,2,1,2,1,2,1,1,,"",83,27,2,2,1,2,1,75,30,80,81,25,76,25,83,27,81,72,27,86,82,80,82,29,79,22,79,86,23,91,21,9,79,71,18,71,22,23,79,19,16,84,85,30,79,20,83,28,75,22,69,24,65,93,73,81,19,84,13,83,0,100,100,70,18,78,13,86,18,73,2,1,3,5,0,0,0,0,1,0,4,1,1,1,2,2,2,2,84,Anonymised,263,449.23296,1385.13496,0,1,91.9481701850891,150.866109132767,58.9179389476779,123.797855987549,381.71005596161,0,1,0,0,0,3750.5,0,18-29,0,1,0,0,0,23.5,3750.5,1,1,0,0,0,0,1,0,1,16.67,0,0,"",1,41.8,41.8,55.8,41.6,54,40.6,30.6,47.8,56.4,45.6,0,0,1,0,1,0,1,0,0,4,FALSE,FALSE,300,High,0.157894736842105
720,,1728326784.08217,2024-10-07T18:46:24.082Z,,,379.344,1,,19,2,1,1,15,Anonymised,6,3,an animal,mamal,insect,ants,spiders,butterfly,1,3,3,4,3,5,1,2,5,Wasp: correct,Beetle: incorrect,I don’t know: incorrect,Ant: incorrect,Bee: correct,I don’t know: incorrect,4,3,1,3,2,4,4,5,3,2,1,2,5,2,2,9,3,2,1,2,2,2,1,3,3,2,,"",85,23,1,1,2,2,1,75,20,71,30,78,82,79,78,71,64,81,72,31,68,30,75,24,71,22,75,66,77,79,50,63,78,65,19,90,93,80,22,76,30,74,85,21,79,25,79,26,76,80,24,87,81,20,78,84,26,81,93,25,81,27,87,87,21,91,86,20,71,76,7,5,3,3,1,1,1,0,0,0,5,2,1,1,2,2,2,2,97,Anonymised,379.344,449.23296,1385.13496,0,1,140.991216897964,209.201240062714,68.21002316475,123.797855987549,381.71005596161,0,1,1,0,1,1750.5,0,18-29,1,1,0,0,0,23.5,1750.5,0,0,1,0,0,0,1,0,2,33.33,0,0,"",1,45.2,46.6,43.6,25.2,33,42.2,43.6,31,41.4,39.0888888888889,0,0,0,0,1,0,0,1,0,1,FALSE,FALSE,5.26,Normal,0.00276842105263158
743,,1728326980.48873,2024-10-07T18:49:40.489Z,1,,225.458,1,,24,1,2,0,1,Anonymised,7,7,Spider,Ant,Fly,Fly,Spider,Ant,1,5,5,1,3,3,1,2,4,Ant: incorrect,Beetle: incorrect,Beetle: correct,Ant: incorrect,Bee: correct,Wasp: incorrect,5,5,1,5,5,5,5,5,5,5,1,5,5,2,2,9,3,1,2,1,2,1,1,1,1,2,,"",100,100,1,1,1,1,1,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,5,0,0,0,0,0,0,2,2,1,2,2,2,2,2,79,Anonymised,225.458,449.23296,1385.13496,0,1,79.2776200771332,122.910663127899,43.6330430507658,123.797855987549,381.71005596161,0,1,1,0,1,3750.5,0,18-29,0,1,0,0,0,23.5,3750.5,1,1,0,0,1,0,1,0,2,33.33,0,1,"",1,79.6,99.6,98.4,100,100,99.6,100,100,100,97.4666666666667,0,1,0,1,1,0,0,0,0,1,FALSE,FALSE,5.26,Normal,0.00276842105263158
706,,1728326700.9048,2024-10-07T18:45:00.905Z,,,509.638,1,,27,1,1,1,9,Anonymised,9,8,Butterfly,Fruit fly,Cockroach,Annoying,Buzz,Dirty,1,4,4,4,3,4,4,2,2,Wasp: correct,Beetle: incorrect,Wasp: incorrect,Wasp: incorrect,Bee: correct,Bee: correct,4,2,1,4,4,4,4,4,4,4,1,5,5,2,2,9,2,2,2,2,2,2,2,1,1,1,,"",80,75,1,1,1,1,1,80,50,69,27,62,76,29,51,49,50,50,50,50,50,50,34,46,52,58,50,50,39,50,50,50,39,50,50,53,50,15,13,54,50,49,46,54,50,50,50,50,44,27,50,50,49,54,52,0,40,89,14,16,99,78,16,33,96,62,33,87,83,78,5,5,4,4,1,1,1,1,1,1,5,2,2,2,2,2,2,2,99,Anonymised,509.638,449.23296,1385.13496,1,1,102.132300138474,248.040850162506,145.908550024032,123.797855987549,381.71005596161,1,1,1,0,1,5000.5,0,18-29,1,1,0,0,0,23.5,5000.5,1,0,1,0,0,0,1,1,3,50,0,1,"",1,42.4,52,63.8,49,52.2,50,50,51.6,55.8,51.8666666666667,0,1,0,0,0,0,0,0,0,1,FALSE,TRUE,0,AlwaysTomorrow,0
691,,1728326672.13004,2024-10-07T18:44:32.130Z,,,564.098,1,,34,2,1,1,1,Anonymised,9,9,Mosquito,Butterfly,Fly,Not good,Nasty,Ugly,1,5,5,2,3,4,2,2,2,Bee: incorrect,Beetle: incorrect,Wasp: incorrect,Bee: incorrect,Bee: correct,Bee: correct,5,4,1,5,5,4,5,5,4,5,1,5,4,2,2,9,2,1,2,2,1,1,2,1,3,2,,"",100,100,1,1,1,1,1,5,9,10,6,13,4,10,18,4,6,8,13,3,8,16,15,22,9,10,10,16,23,5,6,10,6,23,9,6,7,12,25,6,11,6,5,28,11,8,11,16,18,3,6,15,98,79,93,100,91,80,94,100,79,97,94,97,99,80,96,100,96,80,4,6,4,3,0,0,1,0,1,0,5,1,1,2,2,1,2,1,100,Anonymised,564.098,449.23296,1385.13496,1,1,245.802579164505,348.019124031067,102.216544866562,123.797855987549,381.71005596161,0,1,1,0,1,6001,0,30-44,1,0,1,0,0,37,6001,1,1,0,0,0,0,1,1,2,33.33,0,1,"",1,91.4,86.8,88,91.6,88,87.4,90.4,89.8,88.4,89.0888888888889,0,0,0,0,1,0,0,0,0,3,FALSE,FALSE,100,High,0.0526315789473684
718,,1728326745.85857,2024-10-07T18:45:45.859Z,,,490.71,1,,42,1,2,1,1,Anonymised,1,10,Ladybird,Spider,Ant,Shiver,Sick,Intrigued,1,3,3,5,5,5,5,2,5,I don’t know: incorrect,I don’t know: incorrect,I don’t know: incorrect,I don’t know: incorrect,Bee: correct,I don’t know: incorrect,5,5,1,5,5,5,5,5,5,5,1,5,5,1,1,0,1,3,3,2,3,3,3,1,2,3,,"",100,100,1,1,1,1,1,97,58,64,49,71,19,6,0,0,0,99,95,94,95,88,95,36,75,76,83,5,8,21,27,7,93,93,96,90,93,91,74,81,83,83,3,6,6,9,16,100,90,100,91,92,96,97,97,12,67,13,19,93,97,95,3,98,0,83,95,100,98,9,6,3,2,5,1,1,1,0,1,1,6,1,1,1,2,2,2,2,31,Anonymised,490.71,449.23296,1385.13496,1,1,108.643768787384,229.576980829239,120.933212041855,123.797855987549,381.71005596161,0,1,0,0,0,,1,30-44,1,0,1,0,0,37,4.76036635799379,0,1,0,0,0,0,1,0,1,16.67,0,1,"",1,32.2,27,17.6,95,86.4,92,5.8,7,5.4,40.9333333333333,0,1,0,1,1,0,0,0,0,4,FALSE,FALSE,300,High,0.157894736842105
688,,1728326660.75574,2024-10-07T18:44:20.756Z,,,580.514,1,,50,1,2,1,1,Anonymised,5,2,Spider,Worm,Fly,Spider,Worm,Fly,1,3,3,5,5,1,3,2,4,I don’t know: incorrect,I don’t know: incorrect,Ant: incorrect,Beetle: correct,Bee: correct,Wasp: incorrect,5,3,1,3,3,3,3,3,3,3,1,3,3,1,1,0,2,3,3,3,3,3,3,3,3,3,2,"",50,50,2,2,2,2,1,50,50,50,50,50,57,57,56,50,64,58,50,56,50,60,58,56,61,39,50,50,50,50,50,49,50,50,50,50,63,50,50,56,50,50,50,50,50,50,55,50,50,50,50,50,72,74,73,34,19,40,43,50,50,50,50,50,46,50,50,85,70,58,6,2,2,6,1,1,1,0,1,1,2,1,1,1,2,2,2,2,100,Anonymised,580.514,449.23296,1385.13496,1,1,142.902987003326,250.526188135147,107.623201131821,123.797855987549,381.71005596161,0,1,0,0,1,1250.5,0,45-60,0,0,0,1,0,52.5,1250.5,0,1,0,0,0,1,1,0,2,33.33,0,0,I am not willing to pay anything for this plan.,1,50,47.2,48.8,43.2,50.2,49,45.2,47.4,50,47.8888888888889,1,1,0,1,1,0,0,0,0,4,FALSE,FALSE,300,High,0.157894736842105
734,,1728326890.42579,2024-10-07T18:48:10.426Z,,,372.091,1,,41,1,1,0,1,Anonymised,7,6,Ant,Fly,Worm,Little,Small,Petite,1,5,3,3,3,5,1,2,4,Beetle: incorrect,Beetle: incorrect,I don’t know: incorrect,Ant: incorrect,Bee: correct,Wasp: incorrect,1,1,1,4,4,2,4,4,4,3,1,3,2,1,1,0,1,2,2,1,2,1,2,1,3,2,,"",24,69,1,1,1,1,1,72,22,64,31,74,69,29,62,31,66,64,27,65,27,67,69,30,71,29,66,74,33,70,27,69,72,30,69,29,73,64,24,61,65,40,68,64,21,63,66,66,18,71,28,27,68,29,62,33,60,61,25,69,69,29,72,72,55,73,32,100,100,78,4,4,2,4,1,1,1,0,1,1,5,2,1,1,1,1,2,2,100,Anonymised,372.091,449.23296,1385.13496,0,1,148.759536981583,224.118058919907,75.358521938324,123.797855987549,381.71005596161,0,1,1,0,1,3250.5,0,30-44,1,0,1,0,0,37,3250.5,1,1,0,0,0,0,1,0,1,16.67,0,1,"",1,47.4,47,49.2,48.6,45.4,43.6,50,45.4,58,48.2888888888889,0,1,0,0,1,0,0,0,0,1,FALSE,FALSE,5.26,Normal,0.00276842105263158
