RID,IP_repeat_group,START,DATETIME.UTC,speeder_flag,metadata_flag,DURATION,consent,Consent_2,Q1Age,Q2Gender,Q3Country,Q4Urban,Q5Ethnicity,Q8Postcode,Q6Occupation,Q7Income,Q10Insect_Species1,Q10Insect_Species2,Q10Insect_Species3,Q9Insect_Word1,Q9Insect_Word2,Q9Insect_Word3,BackgroundInfo_Check,Q11OpinionOnInsectPopulations_1,Q11OpinionOnInsectPopulations_2,Q12InsectIDQuiz_1,Q12InsectIDQuiz_2,Q12InsectIDQuiz_3,Q12InsectIDQuiz_4,Q12InsectIDQuiz_5,Q12InsectIDQuiz_6,Q12InsectIDQuiz_DV_1,Q12InsectIDQuiz_DV_2,Q12InsectIDQuiz_DV_3,Q12InsectIDQuiz_DV_4,Q12InsectIDQuiz_DV_5,Q12InsectIDQuiz_DV_6,Q12InsectIDQuizFollowUp_1,Q12InsectIDQuizFollowUp_2,CE_Info_Check,CE_Task_Plan_Check_1,CE_Task_Insect_Check_1,CE_Task_A1_Check_1,CE_Task_A2_Check_1,CE_Task_A3_Check_1,CE_Task_A4_Check_1,CE_Task_A5_Check_1,CE_ConfirmYouHaveReadDescs,CE_TasksConsequentiality_1,CE_TasksConsequentiality_2,CE_BlockAllocator,design_offset_old,design_offset,BidVectorElicitation_Randomiser,CE_1_DV,CE_2_DV,CE_3_DV,CE_4_DV,CE_5_DV,CE_6_DV,CE_7_DV,CE_8_DV,CE_9_DV,Q29CEProtest_Statements,Q29CEProtest_Other,CE_Debrief_Certain,CE_Debrief_Confident,CE_ANA_1,CE_ANA_2,CE_ANA_3,CE_ANA_4,CE_ANA_5,Biowell_Beetle1_Item1_Relaxed,Biowell_Beetle1_Item2_Joy,Biowell_Beetle1_Item3_Clear,Biowell_Beetle1_Item4_Open,Biowell_Beetle1_Item5_Connect,Biowell_Bee1_Item1_Relaxed,Biowell_Bee1_Item2_Joy,Biowell_Bee1_Item3_Clear,Biowell_Bee1_Item4_Open,Biowell_Bee1_Item5_Connect,Biowell_Wasp1_Item1_Relaxed,Biowell_Wasp1_Item2_Joy,Biowell_Wasp1_Item3_Clear,Biowell_Wasp1_Item4_Open,Biowell_Wasp1_Item5_Connect,Biowell_Beetle2_Item1_Relaxed,Biowell_Beetle2_Item2_Joy,Biowell_Beetle2_Item3_Clear,Biowell_Beetle2_Item4_Open,Biowell_Beetle2_Item5_Connect,Biowell_Bee2_Item1_Relaxed,Biowell_Bee2_Item2_Joy,Biowell_Bee2_Item3_Clear,Biowell_Bee2_Item4_Open,Biowell_Bee2_Item5_Connect,Biowell_Wasp2_Item1_Relaxed,Biowell_Wasp2_Item2_Joy,Biowell_Wasp2_Item3_Clear,Biowell_Wasp2_Item4_Open,Biowell_Wasp2_Item5_Connect,Biowell_Beetle3_Item1_Relaxed,Biowell_Beetle3_Item2_Joy,Biowell_Beetle3_Item3_Clear,Biowell_Beetle3_Item4_Open,Biowell_Beetle3_Item5_Connect,Biowell_Bee3_Item1_Relaxed,Biowell_Bee3_Item2_Joy,Biowell_Bee3_Item3_Clear,Biowell_Bee3_Item4_Open,Biowell_Bee3_Item5_Connect,Biowell_Wasp3_Item1_Relaxed,Biowell_Wasp3_Item2_Joy,Biowell_Wasp3_Item3_Clear,Biowell_Wasp3_Item4_Open,Biowell_Wasp3_Item5_Connect,Biowell_Debrief_BeetlesCertain,Biowell_Debrief_BeeCertain,Biowell_Debrief_WaspCertain,Sliding_Beetles_Encounter,Sliding_Beetles_Ecology,Sliding_Beetles_Conserved,Sliding_Beetles_Important,Sliding_Bees_Encounter,Sliding_Bees_Conserved,Sliding_Bees_Ecology,Sliding_Bees_Important,Sliding_Wasps_Encounter,Sliding_Wasps_Conserved,Sliding_Wasps_Ecology,Sliding_Wasps_Important,Visit_Child,Visit_Teen,Visit_Adult,Q41_FreqOfVisitGreenSpace_1,Q41_FreqOfVisitBlueSpace_1,Q41_WalkTimeToGreenSpace,Q41_WalkTimeToBlueSpace,Q42_Charity,Q43_Citizen,Q44_Sight,Q45_Garden,Q46_Farm,Q47_Fish,Q48_Education,QDiscounting_1,QDiscounting_2,QDiscounting_3,QDiscounting_4,QDiscounting_5,QDiscounting_6,QDiscounting_7,Q50_Understanding,FurtherComments,SurveyCompletionTime,Speeders_Survey_Threshold,Slowers_Survey_Threshold,Speeders_Survey_TestDummy,Slowers_Survey_TestDummy,Valuation_Start,Valuation_Finish,Valuation_CompletionTime,Speeders_Valuation_Threshold,Slowers_Valuation_Threshold,Speeders_Valuation_TestDummy,Slowers_Valuation_TestDummy,ClassDummy,EmployDummy_Retired,EmployDummy_Employed,IncomeMidpoints,Income_MissingDummy,AgeGroup,Dummy_HighEducation,Age_1829Dummy,Age_3044Dummy,Age_4560Dummy,Age_60Dummy,AgeGroup_Numeric,IncomeMidpoints_PlusMissing,Income_Dummy,Q5Ethnicity_Dummy,Q12InsectIDQuiz_DV_1_Dummy,Q12InsectIDQuiz_DV_2_Dummy,Q12InsectIDQuiz_DV_3_Dummy,Q12InsectIDQuiz_DV_4_Dummy,Q12InsectIDQuiz_DV_5_Dummy,Q12InsectIDQuiz_DV_6_Dummy,Q12InsectIDQuiz_Score,Q12InsectIDQuiz_DV_6_ScoreScaled,CE_ANA_None,CE_ANA_All,Protest_Labelled,Protest_True,Biowell_Beetle1_Mean,Biowell_Beetle2_Mean,Biowell_Beetle3_Mean,Biowell_Bee1_Mean,Biowell_Bee2_Mean,Biowell_Bee3_Mean,Biowell_Wasp1_Mean,Biowell_Wasp2_Mean,Biowell_Wasp3_Mean,Overall,Age_Dummy,Female_dummy,Q3Country_Wales,Q3Country_Scotland,Dummy_Speeders,Visit_Green_Never,Visit_Blue_Never,Visit_Green_Always,Visit_Blue_Always,first_switch_task,always_chose_oneMonth,always_chose_oneYear,DiscountRate,DiscountRate_TextCategory,DiscountRate_Scaled,DESIGN_ROW,Task,SEQ,Choice,Insect_PlanA,Encounter_PlanA,Existence_PlanA,Bequest_PlanA,Tax_PlanA,Insect_PlanB,Encounter_PlanB,Existence_PlanB,Bequest_PlanB,Tax_PlanB,Insect_PlanC,Encounter_PlanC,Existence_PlanC,Bequest_PlanC,Tax_PlanC,av_PlanA,av_PlanB,av_PlanC,ID,Respondent,Insect_PlanA_Words,Insect_PlanB_Words,Insect_PlanC_Words,Encounter_PlanA_Values,Encounter_PlanB_Values,Encounter_PlanC_Values,Existence_PlanA_Values,Existence_PlanB_Values,Existence_PlanC_Values,Bequest_PlanA_Values,Bequest_PlanB_Values,Bequest_PlanC_Values,Tax_PlanA_Values,Tax_PlanB_Values,Tax_PlanC_Values,SerialSQ,Sliders_VSS_PA1,Sliders_VSS_PA2,Sliders_FA_PA1,Sliders_FA_PA2,Sliders_FA_PA3,Sliders_FA_PA4
694,,1728326686.86825,2024-10-07T18:44:46.868Z,1,,291.295,1,,34,2,1,1,1,Anonymised,8,7,Spider,Bee,Ant,Creepy,Itchy,Bad,1,4,5,4,3,3,1,2,4,Wasp: correct,Beetle: incorrect,Beetle: correct,Ant: incorrect,Bee: correct,Wasp: incorrect,4,5,1,4,4,5,5,4,5,3,1,3,4,2,2,9,3,2,1,3,2,3,1,2,3,1,,"",75,86,1,2,1,1,2,74,71,67,70,70,80,76,7,78,77,67,97,88,75,75,79,67,80,85,68,76,79,15,82,84,84,78,91,12,81,84,76,21,73,86,85,80,19,86,93,85,86,17,91,77,78,88,81,77,91,16,86,83,93,16,89,88,92,16,80,76,92,21,4,2,2,4,0,1,1,0,1,1,5,2,1,2,2,1,2,1,83,Anonymised,291.295,449.23296,1385.13496,0,1,106.416854143143,178.665028095245,72.248173952102,123.797855987549,381.71005596161,0,1,1,0,1,3750.5,0,30-44,1,0,1,0,0,37,3750.5,1,1,1,0,1,0,1,0,3,50,0,0,"",1,29.6,24.2,32,36.4,32.8,27.4,19.6,30.8,28.8,29.0666666666667,0,0,0,0,1,0,0,0,0,1,FALSE,FALSE,5.26,Normal,0.00276842105263158,10,1,1,2,3,2,2,3,6,3,1,1,3,2,3,1,1,1,1,1,1,1,1,1,Beetles,Beetles,Beetles,15,0,0,15,0,0,30,30,0,50,2,0,0,0.149003809012316,1.81136665828565,0.240656636099749,1.54858624774528,0.780698161812878,-0.00562095135182122
694,,1728326686.86825,2024-10-07T18:44:46.868Z,1,,291.295,1,,34,2,1,1,1,Anonymised,8,7,Spider,Bee,Ant,Creepy,Itchy,Bad,1,4,5,4,3,3,1,2,4,Wasp: correct,Beetle: incorrect,Beetle: correct,Ant: incorrect,Bee: correct,Wasp: incorrect,4,5,1,4,4,5,5,4,5,3,1,3,4,2,2,9,3,2,1,3,2,3,1,2,3,1,,"",75,86,1,2,1,1,2,74,71,67,70,70,80,76,7,78,77,67,97,88,75,75,79,67,80,85,68,76,79,15,82,84,84,78,91,12,81,84,76,21,73,86,85,80,19,86,93,85,86,17,91,77,78,88,81,77,91,16,86,83,93,16,89,88,92,16,80,76,92,21,4,2,2,4,0,1,1,0,1,1,5,2,1,2,2,1,2,1,83,Anonymised,291.295,449.23296,1385.13496,0,1,106.416854143143,178.665028095245,72.248173952102,123.797855987549,381.71005596161,0,1,1,0,1,3750.5,0,30-44,1,0,1,0,0,37,3750.5,1,1,1,0,1,0,1,0,3,50,0,0,"",1,29.6,24.2,32,36.4,32.8,27.4,19.6,30.8,28.8,29.0666666666667,0,0,0,0,1,0,0,0,0,1,FALSE,FALSE,5.26,Normal,0.00276842105263158,15,6,6,1,1,1,2,3,6,1,1,3,1,5,1,1,1,1,1,1,1,1,2,1,Wasps,Wasps,Wasps,0,0,0,15,30,0,30,0,0,50,25,0,0,0.149003809012316,1.81136665828565,0.240656636099749,1.54858624774528,0.780698161812878,-0.00562095135182122
694,,1728326686.86825,2024-10-07T18:44:46.868Z,1,,291.295,1,,34,2,1,1,1,Anonymised,8,7,Spider,Bee,Ant,Creepy,Itchy,Bad,1,4,5,4,3,3,1,2,4,Wasp: correct,Beetle: incorrect,Beetle: correct,Ant: incorrect,Bee: correct,Wasp: incorrect,4,5,1,4,4,5,5,4,5,3,1,3,4,2,2,9,3,2,1,3,2,3,1,2,3,1,,"",75,86,1,2,1,1,2,74,71,67,70,70,80,76,7,78,77,67,97,88,75,75,79,67,80,85,68,76,79,15,82,84,84,78,91,12,81,84,76,21,73,86,85,80,19,86,93,85,86,17,91,77,78,88,81,77,91,16,86,83,93,16,89,88,92,16,80,76,92,21,4,2,2,4,0,1,1,0,1,1,5,2,1,2,2,1,2,1,83,Anonymised,291.295,449.23296,1385.13496,0,1,106.416854143143,178.665028095245,72.248173952102,123.797855987549,381.71005596161,0,1,1,0,1,3750.5,0,30-44,1,0,1,0,0,37,3750.5,1,1,1,0,1,0,1,0,3,50,0,0,"",1,29.6,24.2,32,36.4,32.8,27.4,19.6,30.8,28.8,29.0666666666667,0,0,0,0,1,0,0,0,0,1,FALSE,FALSE,5.26,Normal,0.00276842105263158,14,5,5,3,3,2,1,1,1,3,3,2,2,5,3,1,1,1,1,1,1,1,3,1,Beetles,Beetles,Beetles,15,30,0,0,15,0,0,15,0,0.5,25,0,0,0.149003809012316,1.81136665828565,0.240656636099749,1.54858624774528,0.780698161812878,-0.00562095135182122
694,,1728326686.86825,2024-10-07T18:44:46.868Z,1,,291.295,1,,34,2,1,1,1,Anonymised,8,7,Spider,Bee,Ant,Creepy,Itchy,Bad,1,4,5,4,3,3,1,2,4,Wasp: correct,Beetle: incorrect,Beetle: correct,Ant: incorrect,Bee: correct,Wasp: incorrect,4,5,1,4,4,5,5,4,5,3,1,3,4,2,2,9,3,2,1,3,2,3,1,2,3,1,,"",75,86,1,2,1,1,2,74,71,67,70,70,80,76,7,78,77,67,97,88,75,75,79,67,80,85,68,76,79,15,82,84,84,78,91,12,81,84,76,21,73,86,85,80,19,86,93,85,86,17,91,77,78,88,81,77,91,16,86,83,93,16,89,88,92,16,80,76,92,21,4,2,2,4,0,1,1,0,1,1,5,2,1,2,2,1,2,1,83,Anonymised,291.295,449.23296,1385.13496,0,1,106.416854143143,178.665028095245,72.248173952102,123.797855987549,381.71005596161,0,1,1,0,1,3750.5,0,30-44,1,0,1,0,0,37,3750.5,1,1,1,0,1,0,1,0,3,50,0,0,"",1,29.6,24.2,32,36.4,32.8,27.4,19.6,30.8,28.8,29.0666666666667,0,0,0,0,1,0,0,0,0,1,FALSE,FALSE,5.26,Normal,0.00276842105263158,13,4,4,2,2,3,1,1,2,2,2,3,2,5,2,1,1,1,1,1,1,1,4,1,Bees,Bees,Bees,30,15,0,0,30,0,0,15,0,2,25,0,0,0.149003809012316,1.81136665828565,0.240656636099749,1.54858624774528,0.780698161812878,-0.00562095135182122
694,,1728326686.86825,2024-10-07T18:44:46.868Z,1,,291.295,1,,34,2,1,1,1,Anonymised,8,7,Spider,Bee,Ant,Creepy,Itchy,Bad,1,4,5,4,3,3,1,2,4,Wasp: correct,Beetle: incorrect,Beetle: correct,Ant: incorrect,Bee: correct,Wasp: incorrect,4,5,1,4,4,5,5,4,5,3,1,3,4,2,2,9,3,2,1,3,2,3,1,2,3,1,,"",75,86,1,2,1,1,2,74,71,67,70,70,80,76,7,78,77,67,97,88,75,75,79,67,80,85,68,76,79,15,82,84,84,78,91,12,81,84,76,21,73,86,85,80,19,86,93,85,86,17,91,77,78,88,81,77,91,16,86,83,93,16,89,88,92,16,80,76,92,21,4,2,2,4,0,1,1,0,1,1,5,2,1,2,2,1,2,1,83,Anonymised,291.295,449.23296,1385.13496,0,1,106.416854143143,178.665028095245,72.248173952102,123.797855987549,381.71005596161,0,1,1,0,1,3750.5,0,30-44,1,0,1,0,0,37,3750.5,1,1,1,0,1,0,1,0,3,50,0,0,"",1,29.6,24.2,32,36.4,32.8,27.4,19.6,30.8,28.8,29.0666666666667,0,0,0,0,1,0,0,0,0,1,FALSE,FALSE,5.26,Normal,0.00276842105263158,12,3,3,3,1,1,3,1,2,1,3,1,2,3,1,1,1,1,1,1,1,1,5,1,Wasps,Wasps,Wasps,0,30,0,30,0,0,0,15,0,2,6,0,0,0.149003809012316,1.81136665828565,0.240656636099749,1.54858624774528,0.780698161812878,-0.00562095135182122
694,,1728326686.86825,2024-10-07T18:44:46.868Z,1,,291.295,1,,34,2,1,1,1,Anonymised,8,7,Spider,Bee,Ant,Creepy,Itchy,Bad,1,4,5,4,3,3,1,2,4,Wasp: correct,Beetle: incorrect,Beetle: correct,Ant: incorrect,Bee: correct,Wasp: incorrect,4,5,1,4,4,5,5,4,5,3,1,3,4,2,2,9,3,2,1,3,2,3,1,2,3,1,,"",75,86,1,2,1,1,2,74,71,67,70,70,80,76,7,78,77,67,97,88,75,75,79,67,80,85,68,76,79,15,82,84,84,78,91,12,81,84,76,21,73,86,85,80,19,86,93,85,86,17,91,77,78,88,81,77,91,16,86,83,93,16,89,88,92,16,80,76,92,21,4,2,2,4,0,1,1,0,1,1,5,2,1,2,2,1,2,1,83,Anonymised,291.295,449.23296,1385.13496,0,1,106.416854143143,178.665028095245,72.248173952102,123.797855987549,381.71005596161,0,1,1,0,1,3750.5,0,30-44,1,0,1,0,0,37,3750.5,1,1,1,0,1,0,1,0,3,50,0,0,"",1,29.6,24.2,32,36.4,32.8,27.4,19.6,30.8,28.8,29.0666666666667,0,0,0,0,1,0,0,0,0,1,FALSE,FALSE,5.26,Normal,0.00276842105263158,11,2,2,1,2,2,3,2,6,2,1,1,3,5,2,1,1,1,1,1,1,1,6,1,Bees,Bees,Bees,15,0,0,30,0,0,15,30,0,50,25,0,0,0.149003809012316,1.81136665828565,0.240656636099749,1.54858624774528,0.780698161812878,-0.00562095135182122
694,,1728326686.86825,2024-10-07T18:44:46.868Z,1,,291.295,1,,34,2,1,1,1,Anonymised,8,7,Spider,Bee,Ant,Creepy,Itchy,Bad,1,4,5,4,3,3,1,2,4,Wasp: correct,Beetle: incorrect,Beetle: correct,Ant: incorrect,Bee: correct,Wasp: incorrect,4,5,1,4,4,5,5,4,5,3,1,3,4,2,2,9,3,2,1,3,2,3,1,2,3,1,,"",75,86,1,2,1,1,2,74,71,67,70,70,80,76,7,78,77,67,97,88,75,75,79,67,80,85,68,76,79,15,82,84,84,78,91,12,81,84,76,21,73,86,85,80,19,86,93,85,86,17,91,77,78,88,81,77,91,16,86,83,93,16,89,88,92,16,80,76,92,21,4,2,2,4,0,1,1,0,1,1,5,2,1,2,2,1,2,1,83,Anonymised,291.295,449.23296,1385.13496,0,1,106.416854143143,178.665028095245,72.248173952102,123.797855987549,381.71005596161,0,1,1,0,1,3750.5,0,30-44,1,0,1,0,0,37,3750.5,1,1,1,0,1,0,1,0,3,50,0,0,"",1,29.6,24.2,32,36.4,32.8,27.4,19.6,30.8,28.8,29.0666666666667,0,0,0,0,1,0,0,0,0,1,FALSE,FALSE,5.26,Normal,0.00276842105263158,16,7,7,2,2,1,2,3,1,2,3,3,1,5,2,1,1,1,1,1,1,1,7,1,Bees,Bees,Bees,0,30,0,15,30,0,30,0,0,0.5,25,0,0,0.149003809012316,1.81136665828565,0.240656636099749,1.54858624774528,0.780698161812878,-0.00562095135182122
694,,1728326686.86825,2024-10-07T18:44:46.868Z,1,,291.295,1,,34,2,1,1,1,Anonymised,8,7,Spider,Bee,Ant,Creepy,Itchy,Bad,1,4,5,4,3,3,1,2,4,Wasp: correct,Beetle: incorrect,Beetle: correct,Ant: incorrect,Bee: correct,Wasp: incorrect,4,5,1,4,4,5,5,4,5,3,1,3,4,2,2,9,3,2,1,3,2,3,1,2,3,1,,"",75,86,1,2,1,1,2,74,71,67,70,70,80,76,7,78,77,67,97,88,75,75,79,67,80,85,68,76,79,15,82,84,84,78,91,12,81,84,76,21,73,86,85,80,19,86,93,85,86,17,91,77,78,88,81,77,91,16,86,83,93,16,89,88,92,16,80,76,92,21,4,2,2,4,0,1,1,0,1,1,5,2,1,2,2,1,2,1,83,Anonymised,291.295,449.23296,1385.13496,0,1,106.416854143143,178.665028095245,72.248173952102,123.797855987549,381.71005596161,0,1,1,0,1,3750.5,0,30-44,1,0,1,0,0,37,3750.5,1,1,1,0,1,0,1,0,3,50,0,0,"",1,29.6,24.2,32,36.4,32.8,27.4,19.6,30.8,28.8,29.0666666666667,0,0,0,0,1,0,0,0,0,1,FALSE,FALSE,5.26,Normal,0.00276842105263158,18,9,9,1,1,3,1,2,3,1,1,3,3,5,1,1,1,1,1,1,1,1,8,1,Wasps,Wasps,Wasps,30,0,0,0,30,0,15,30,0,6,25,0,0,0.149003809012316,1.81136665828565,0.240656636099749,1.54858624774528,0.780698161812878,-0.00562095135182122
694,,1728326686.86825,2024-10-07T18:44:46.868Z,1,,291.295,1,,34,2,1,1,1,Anonymised,8,7,Spider,Bee,Ant,Creepy,Itchy,Bad,1,4,5,4,3,3,1,2,4,Wasp: correct,Beetle: incorrect,Beetle: correct,Ant: incorrect,Bee: correct,Wasp: incorrect,4,5,1,4,4,5,5,4,5,3,1,3,4,2,2,9,3,2,1,3,2,3,1,2,3,1,,"",75,86,1,2,1,1,2,74,71,67,70,70,80,76,7,78,77,67,97,88,75,75,79,67,80,85,68,76,79,15,82,84,84,78,91,12,81,84,76,21,73,86,85,80,19,86,93,85,86,17,91,77,78,88,81,77,91,16,86,83,93,16,89,88,92,16,80,76,92,21,4,2,2,4,0,1,1,0,1,1,5,2,1,2,2,1,2,1,83,Anonymised,291.295,449.23296,1385.13496,0,1,106.416854143143,178.665028095245,72.248173952102,123.797855987549,381.71005596161,0,1,1,0,1,3750.5,0,30-44,1,0,1,0,0,37,3750.5,1,1,1,0,1,0,1,0,3,50,0,0,"",1,29.6,24.2,32,36.4,32.8,27.4,19.6,30.8,28.8,29.0666666666667,0,0,0,0,1,0,0,0,0,1,FALSE,FALSE,5.26,Normal,0.00276842105263158,17,8,8,3,3,3,3,2,4,3,3,1,1,1,3,1,1,1,1,1,1,1,9,1,Beetles,Beetles,Beetles,30,30,0,30,0,0,15,0,0,12,0.5,0,0,0.149003809012316,1.81136665828565,0.240656636099749,1.54858624774528,0.780698161812878,-0.00562095135182122
701,,1728326697.15345,2024-10-07T18:44:57.153Z,,,358.679,1,,32,1,1,0,2,Anonymised,4,4,bugs,flies,spiders,yuck,oest,scary,1,4,4,5,2,3,5,2,3,I don’t know: incorrect,Bee: incorrect,Beetle: correct,I don’t know: incorrect,Bee: correct,Beetle: correct,4,4,1,2,2,2,4,3,2,2,1,4,4,1,1,0,1,3,3,3,3,3,3,3,3,3,2,"",95,99,1,1,1,1,1,69,71,66,68,95,33,18,26,36,37,93,97,98,97,95,52,51,47,47,49,44,48,47,53,53,52,56,75,79,89,56,57,59,59,61,57,57,55,61,58,56,56,62,59,82,62,62,63,72,76,78,75,75,73,76,75,75,77,75,75,77,77,81,4,4,2,1,1,1,1,0,1,1,6,1,1,2,2,2,2,2,82,Anonymised,358.679,449.23296,1385.13496,0,1,95.8821609020233,162.954899072647,67.0727381706237,123.797855987549,381.71005596161,0,1,0,0,0,2250.5,0,30-44,1,0,1,0,0,37,2250.5,0,1,0,0,1,0,1,1,3,50,0,1,I am not willing to pay anything for this plan.,1,26.2,50.8,41.6,70,51,42.4,4,29.8,37,39.2,0,1,0,0,1,0,0,0,0,3,FALSE,FALSE,100,High,0.0526315789473684,1,1,1,3,1,2,1,1,3,1,2,2,1,4,1,1,1,1,1,1,1,1,10,2,Wasps,Wasps,Wasps,15,15,0,0,15,0,0,0,0,6,12,0,1,0.858475806659969,0.857182840517519,0.821195354361821,0.923016223354267,-0.204641747486192,0.109292153392023
