"Attribute","Level","Class","Bee","Beetle","Wasp"
"Encounter","Large","1: Pro-insect","51.65 (30.38 - 72.84)","30.78 (19.02 - 42.70)","40.27 (20.57 - 60.01)"
"Encounter","Large","2: Insect-averse","-9.14 (-25.23 - 7.30)","-20.78 (-35.79 - -6.18)","-76.31 (-179.04 - 26.68)"
"Encounter","Large","3: Ambivalent","-2.62 (-12.27 - 6.79)","5.88 (-1.03 - 12.79)","8.30 (-3.04 - 19.38)"
"Encounter","Large","All classes","18.41 (8.11 - 28.74)","9.43 (2.82 - 16.02)","-0.10 (-27.89 - 27.79)"
"Encounter","Small","1: Pro-insect","11.33 (-4.23 - 27.41)","20.90 (10.08 - 31.61)","49.51 (24.72 - 73.68)"
"Encounter","Small","2: Insect-averse","-17.13 (-31.28 - -3.31)","-19.32 (-34.30 - -4.64)","-17.73 (-32.41 - -2.91)"
"Encounter","Small","3: Ambivalent","-6.11 (-10.78 - -1.54)","1.72 (-6.24 - 9.59)","22.03 (8.51 - 35.54)"
"Encounter","Small","All classes","-1.65 (-9.10 - 5.99)","4.33 (-2.28 - 10.73)","23.30 (11.21 - 34.88)"
"Existence","Large","1: Pro-insect","46.70 (29.28 - 63.97)","19.89 (5.43 - 34.17)","44.39 (24.75 - 64.28)"
"Existence","Large","2: Insect-averse","-124.42 (-194.80 - -52.88)","-24.87 (-36.26 - -13.60)","-24.87 (-37.56 - -12.13)"
"Existence","Large","3: Ambivalent","-0.10 (-8.11 - 7.87)","5.12 (-4.18 - 14.29)","-11.20 (-22.88 - 0.46)"
"Existence","Large","All classes","-12.51 (-32.16 - 7.47)","3.58 (-3.81 - 10.94)","8.54 (-1.24 - 18.26)"
"Existence","Small","1: Pro-insect","-21.29 (-44.99 - 2.64)","15.51 (1.85 - 28.85)","24.60 (11.18 - 37.83)"
"Existence","Small","2: Insect-averse","2.98 (-2.54 - 8.64)","-12.18 (-23.66 - -0.50)","-4.46 (-9.67 - 0.75)"
"Existence","Small","3: Ambivalent","0.37 (-4.23 - 4.97)","12.01 (-1.14 - 25.19)","-6.25 (-10.54 - -2.01)"
"Existence","Small","All classes","-8.02 (-18.13 - 2.17)","7.25 (-0.50 - 14.85)","7.12 (1.19 - 13.08)"
"Bequest","Large","1: Pro-insect","83.42 (50.27 - 116.82)","57.24 (33.79 - 81.14)","30.44 (11.73 - 49.60)"
"Bequest","Large","2: Insect-averse","-7.79 (-28.94 - 13.84)","-14.01 (-33.03 - 4.67)","2.65 (-9.79 - 15.51)"
"Bequest","Large","3: Ambivalent","-2.47 (-13.49 - 8.49)","0.71 (-15.90 - 16.82)","-13.36 (-21.36 - -5.30)"
"Bequest","Large","All classes","32.09 (16.78 - 47.65)","20.57 (8.58 - 32.59)","9.09 (0.02 - 18.05)"
"Bequest","Small","1: Pro-insect","49.08 (27.55 - 71.04)","27.77 (10.37 - 45.28)","7.49 (-8.03 - 22.88)"
"Bequest","Small","2: Insect-averse","-57.34 (-87.82 - -26.47)","1.16 (-30.84 - 32.91)","6.83 (-1.90 - 15.48)"
"Bequest","Small","3: Ambivalent","-2.66 (-13.59 - 8.41)","-17.50 (-28.09 - -6.81)","-23.57 (-33.45 - -13.78)"
"Bequest","Small","All classes","4.92 (-7.73 - 17.33)","6.24 (-5.46 - 17.89)","-2.75 (-10.37 - 4.68)"
