"Attribute","Level","Class","Value","Bee","Beetle","Wasp"
"Encounter","Large","1: Pro-insect","Mean","20.75** (10.48)","31.41*** (6.03)","9.10 (10.10)"
"Encounter","Large","1: Pro-insect","SD","1.23 (1.91)","-43.69*** (8.91)","1.98 (7.02)"
"Encounter","Large","2: Insect-averse","Mean","11.64*** (3.37)","-20.86*** (7.45)","-55.76 (47.05)"
"Encounter","Large","2: Insect-averse","SD","10.29 (13.33)","3.06 (10.23)","-60.21 (39.99)"
"Encounter","Large","3: Ambivalent","Mean","-8.46 (6.50)","5.81 (3.56)","2.55 (6.85)"
"Encounter","Large","3: Ambivalent","SD","0.06 (0.50)","4.81 (3.51)","-0.03 (4.33)"
"Encounter","Small","1: Pro-insect","Mean","-9.11 (8.68)","20.62*** (5.57)","29.36** (12.36)"
"Encounter","Small","1: Pro-insect","SD","6.33 (7.46)","-31.35*** (7.21)","-28.89* (17.11)"
"Encounter","Small","2: Insect-averse","Mean","2.20 (13.10)","-19.35** (7.66)","1.78 (2.47)"
"Encounter","Small","2: Insect-averse","SD","5.01 (4.85)","-3.92* (2.21)","-3.96* (2.22)"
"Encounter","Small","3: Ambivalent","Mean","-7.66* (3.99)","1.70 (4.05)","20.36** (8.63)"
"Encounter","Small","3: Ambivalent","SD","4.67 (4.71)","-8.37*** (1.90)","17.41*** (4.20)"
"Existence","Large","1: Pro-insect","Mean","27.02*** (9.20)","20.10*** (7.45)","24.56** (10.65)"
"Existence","Large","1: Pro-insect","SD","38.75*** (14.00)","-21.02** (8.25)","21.20 (14.62)"
"Existence","Large","2: Insect-averse","Mean","-99.98*** (35.35)","-24.88*** (5.92)","0.09 (3.81)"
"Existence","Large","2: Insect-averse","SD","-113.13*** (29.01)","-0.81 (14.56)","5.63 (6.33)"
"Existence","Large","3: Ambivalent","Mean","-5.15 (3.75)","4.90 (4.81)","-16.10*** (4.67)"
"Existence","Large","3: Ambivalent","SD","-12.23*** (4.27)","8.96*** (1.77)","1.11 (2.34)"
"Existence","Small","1: Pro-insect","Mean","-38.68*** (14.89)","15.48** (6.92)","8.86 (8.20)"
"Existence","Small","1: Pro-insect","SD","92.63** (40.14)","-8.07 (14.66)","25.07* (15.24)"
"Existence","Small","2: Insect-averse","Mean","15.37*** (5.88)","-12.20** (6.03)","7.72 (4.71)"
"Existence","Small","2: Insect-averse","SD","7.47 (6.48)","5.56** (2.72)","0.03 (1.49)"
"Existence","Small","3: Ambivalent","Mean","-11.60 (7.53)","12.00* (6.76)","-18.45*** (6.36)"
"Existence","Small","3: Ambivalent","SD","0.85 (1.61)","-0.03 (0.25)","-10.90*** (3.10)"
"Bequest","Large","1: Pro-insect","Mean","26.11** (11.33)","57.28*** (12.08)","-27.83*** (10.65)"
"Bequest","Large","1: Pro-insect","SD","65.54** (27.31)","-29.34*** (9.44)","78.29*** (19.26)"
"Bequest","Large","2: Insect-averse","Mean","6.29** (3.14)","-14.09 (9.65)","16.75** (8.42)"
"Bequest","Large","2: Insect-averse","SD","-9.20** (3.81)","0.00 (2.26)","-4.35 (12.61)"
"Bequest","Large","3: Ambivalent","Mean","-3.29 (5.71)","0.76 (8.37)","-14.14** (6.58)"
"Bequest","Large","3: Ambivalent","SD","0.61 (1.26)","-0.01 (1.39)","0.31 (0.50)"
"Bequest","Small","1: Pro-insect","Mean","21.06** (9.33)","27.89*** (8.89)","-20.37* (10.42)"
"Bequest","Small","1: Pro-insect","SD","-0.76 (4.02)","-10.10 (8.34)","-21.04 (21.70)"
"Bequest","Small","2: Insect-averse","Mean","-58.46** (24.98)","0.95 (16.57)","5.97 (13.50)"
"Bequest","Small","2: Insect-averse","SD","89.63*** (26.50)","-12.24* (6.85)","-7.33 (4.97)"
"Bequest","Small","3: Ambivalent","Mean","14.63** (6.45)","-17.29*** (5.49)","-6.72 (7.37)"
"Bequest","Small","3: Ambivalent","SD","1.74 (4.96)","-6.75* (3.80)","14.77*** (3.59)"
"Diagnostics","","","N","1476","",""
"Diagnostics","","","AIC","22762.979","",""
"Diagnostics","","","BIC","24156.922","",""
"Diagnostics","","","Adj.R2","0.210","",""
"Diagnostics","","","LogLik","-11195.489","",""
