"Attribute","Level","Class","Bee","Beetle","Wasp"
"Encounter","High","Class1","3.60 (6.47)","9.40** (4.18)","14.17** (6.71)"
"Encounter","High","Class2","4.10** (2.02)","2.34 (1.70)","6.40 (8.96)"
"Encounter","High","Class3","3.34** (1.66)","-1.24 (1.94)","12.11*** (2.86)"
"Encounter","Medium","Class1","3.71 (5.53)","1.67 (3.50)","11.02 (7.88)"
"Encounter","Medium","Class2","9.42** (4.06)","-0.90 (2.06)","3.26* (1.94)"
"Encounter","Medium","Class3","3.44* (2.01)","0.03 (1.79)","11.41*** (3.75)"
"Existence","High","Class1","4.17 (5.93)","12.18*** (4.02)","12.52* (6.68)"
"Existence","High","Class2","13.93 (19.85)","-1.73 (1.90)","5.00** (2.37)"
"Existence","High","Class3","1.23 (1.96)","-0.50 (1.97)","5.34** (2.09)"
"Existence","Medium","Class1","-5.84 (8.05)","8.30** (3.96)","6.92 (5.59)"
"Existence","Medium","Class2","5.73** (2.52)","-1.69 (1.37)","2.50 (1.92)"
"Existence","Medium","Class3","-0.78 (2.12)","1.16 (1.50)","3.77** (1.81)"
"Bequest","High","Class1","13.60* (7.01)","12.07** (5.30)","10.67 (8.11)"
"Bequest","High","Class2","1.73 (3.60)","2.26** (1.08)","-0.18 (2.18)"
"Bequest","High","Class3","2.33 (1.93)","0.36 (1.67)","-1.46 (2.54)"
"Bequest","Medium","Class1","2.62 (5.50)","10.48*** (4.05)","1.54 (5.84)"
"Bequest","Medium","Class2","8.40 (7.65)","6.63** (2.94)","-0.40 (1.87)"
"Bequest","Medium","Class3","2.50 (2.81)","0.05 (2.62)","-1.19 (2.38)"
